ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
46,South Dakota,SD,46003,Aurora County,46003973600,Census Tract 9736; Aurora County; South Dakota,708.459665210026,2590,151,1216,63,1053,67,288,72,11,9,172,41,150,46,172,59,499,54,660,67,316,63,46,23,39,50,293,210,17,16,77,30,4,10,19,10,108,6,11.6,2.8,0.8,0.7,16.3,3.8,8.7,2.7,6.9,2.3,19.3,2.0,25.5,1.6,12.7,2.4,4.3,2.2,1.6,2.1,11.3,8.1,1.4,1.3,6.3,2.4,0.4,0.9,1.8,0.9,4.2,0.3,0.1992,0.2033,0.3776,0.639,0.4274,1.8465,0.2988,0.5892,0.6058,0.6141,0.4896,0.8382,3.1369,0.9087,0.4315,0.4315,0.4315,0.2739,0.5021,0.3112,0.2739,0.7676,2.1287,0.3527,7.5436,0.4772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,226,45,33,36,172,65,6,7,62,45,0,10,20,16,0,10,21.5,3.9,1.3,1.4,6.6,2.4,0.2,0.3,2.4,1.7,0.0,1.0,0.8,0.6,0.0,1.0
46,South Dakota,SD,46005,Beadle County,46005956600,Census Tract 9566; Beadle County; South Dakota,556.704381454742,1836,186,907,112,746,98,141,63,1,4,88,42,133,75,87,66,347,81,499,107,173,56,6,12,0,40,114,258,6,13,80,39,0,14,22,18,57,7,7.9,3.4,0.1,0.4,11.8,5.4,10.7,5.8,4.8,3.5,18.9,4.4,27.2,4.9,9.5,3.0,0.8,1.6,0.0,2.3,6.2,14.0,0.7,1.4,8.8,4.1,0.0,1.9,2.9,2.5,3.1,0.2,0.0871,0.0747,0.112,0.8008,0.2199,1.2945,0.1494,0.5477,0.7137,0.2739,0.0456,0.0,1.5809,0.0705,0.1826,0.1826,0.1826,0.2116,0.6639,0.0,0.3983,0.6763,1.9501,0.278,5.0081,0.1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,140,60,0,10,24,24,0,10,11,43,0,10,68,44,11,15,18.8,7.4,0.0,1.4,1.3,1.3,0.0,1.4,0.6,2.3,0.0,1.4,3.7,2.3,0.6,0.8
46,South Dakota,SD,46005,Beadle County,46005956700,Census Tract 9567; Beadle County; South Dakota,634.149361544062,2266,194,1033,103,898,99,320,123,8,9,110,33,111,67,108,40,405,72,530,83,173,40,31,17,6,39,152,266,0,14,154,81,26,19,10,11,0,10,14.1,5.3,0.7,0.8,12.2,3.4,7.0,4.1,4.8,1.7,17.9,3.2,23.4,3.2,7.6,1.9,3.5,1.9,0.3,1.8,6.7,11.7,0.0,1.4,14.9,7.2,2.9,2.1,1.1,1.2,0.0,0.4,0.3361,0.1618,0.1245,0.5104,0.2199,1.3527,0.1701,0.4813,0.444,0.1037,0.361,0.527,1.917,0.195,0.2282,0.2282,0.2282,0.0,0.805,0.7386,0.1909,0.0,1.7345,0.2116,5.2324,0.1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,138,42,4,6,122,108,0,10,5,8,0,10,21,18,0,10,15.4,4.5,0.2,0.3,5.4,4.6,0.0,1.1,0.2,0.3,0.0,1.1,0.9,0.8,0.0,1.1
46,South Dakota,SD,46005,Beadle County,46005956800,Census Tract 9568; Beadle County; South Dakota,28.37389273365,1797,258,868,109,750,96,265,129,0,10,98,51,96,50,89,98,354,68,429,126,227,83,18,18,33,52,437,335,93,47,70,37,0,14,19,25,0,10,14.7,6.9,0.0,2.6,13.1,6.6,8.0,3.9,5.0,4.9,19.7,4.0,23.9,4.8,12.6,4.5,2.4,2.4,2.1,3.3,24.3,18.3,10.7,5.2,8.1,4.0,0.0,1.9,2.5,3.3,0.0,0.6,0.3734,0.0,0.1494,0.5975,0.2448,1.3651,0.1743,0.6183,0.4938,0.5934,0.195,0.8838,2.7843,0.7759,0.751,0.751,0.751,0.6846,0.6224,0.0,0.3444,0.0,1.6514,0.1826,6.5518,0.3195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3557,79,44,0,10,325,191,0,10,52,54,0,10,60,44,0,10,10.5,5.7,0.0,1.4,18.1,9.2,0.0,1.4,2.9,3.0,0.0,1.4,3.3,2.5,0.0,1.4
46,South Dakota,SD,46005,Beadle County,46005956900,Census Tract 9569; Beadle County; South Dakota,0.874648829762,3030,387,1371,172,1125,177,1334,444,79,86,338,155,367,209,433,312,442,169,827,217,366,135,40,38,76,68,1255,569,176,100,0,10,101,85,114,81,229,49,45.7,14.0,4.7,4.9,30.0,12.9,19.8,11.2,14.7,10.2,14.6,5.4,27.3,5.4,12.4,4.8,3.6,3.3,2.7,2.4,41.4,18.0,12.8,7.1,0.0,1.8,9.0,7.4,10.1,6.7,7.6,1.3,0.9295,0.7884,0.8714,0.9751,0.8091,4.3735,0.9502,0.2988,0.722,0.5602,0.3776,0.9295,2.8881,0.8423,0.8921,0.8921,0.8921,0.7095,0.0,0.9378,0.8714,0.8921,3.4108,0.8714,11.5645,0.9419,1,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,1,4,4376,169,79,17,35,647,243,120,138,103,78,201,252,167,204,0,10,15.0,6.7,0.6,1.1,21.4,7.6,4.0,4.3,3.4,2.7,6.6,8.2,5.5,6.5,0.0,0.8
46,South Dakota,SD,46005,Beadle County,46005957000,Census Tract 9570; Beadle County; South Dakota,23.546896109012,6188,586,2575,186,2301,206,2351,762,71,46,799,234,795,348,188,128,1412,255,1677,341,747,215,220,131,159,141,1920,767,237,102,200,123,116,101,225,136,286,27,39.3,12.1,2.6,1.8,34.7,9.7,19.4,7.7,3.2,2.2,22.8,3.9,27.1,3.9,12.5,3.4,9.6,5.6,2.8,2.5,31.0,12.0,9.2,3.9,7.8,4.6,5.0,4.4,9.8,5.4,4.6,0.0,0.8921,0.5602,0.9212,0.971,0.0871,3.4316,0.7801,0.7344,0.6929,0.5809,0.8631,0.9378,3.8091,1.0,0.834,0.834,0.834,0.6432,0.5975,0.8548,0.8506,0.8008,3.7469,0.9585,11.8216,0.9627,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,5663,515,148,64,53,630,230,996,622,26,31,0,15,204,122,0,15,22.4,6.9,1.0,0.9,10.2,3.7,16.1,9.4,0.4,0.5,0.0,0.4,3.3,2.0,0.0,0.4
46,South Dakota,SD,46005,Beadle County,46005957100,Census Tract 9571; Beadle County; South Dakota,15.047967147344,3972,424,1682,135,1623,145,459,196,57,45,187,105,365,174,103,47,621,123,1257,239,656,177,81,60,304,162,1318,531,205,108,29,30,97,62,129,98,0,10,11.6,4.8,2.8,2.2,11.5,6.4,14.3,5.9,2.6,1.2,15.6,3.1,31.6,3.8,16.5,4.8,5.0,3.7,8.5,4.4,33.2,12.9,12.2,6.3,1.7,1.7,5.9,3.8,7.9,5.9,0.0,0.3,0.1992,0.6058,0.0871,0.888,0.0581,1.8382,0.2946,0.3485,0.8963,0.8465,0.5809,0.9959,3.6681,0.9876,0.8548,0.8548,0.8548,0.7054,0.249,0.8963,0.7967,0.0,2.6474,0.6183,9.0085,0.6971,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2298,257,136,27,42,496,157,592,348,0,10,0,10,165,140,38,63,15.8,8.0,0.7,1.0,12.5,3.7,14.9,7.9,0.0,0.6,0.0,0.6,4.2,3.4,1.0,1.6
46,South Dakota,SD,46007,Bennett County,46007941000,Census Tract 9410; Bennett County; South Dakota,8.870763334462,1454,243,625,79,520,81,316,146,33,30,113,47,35,27,481,151,232,53,496,153,170,53,74,39,6,39,845,271,5,6,59,25,10,11,13,14,43,3,22.4,9.6,5.2,5.0,21.7,8.4,4.1,3.0,34.1,7.8,16.0,4.3,34.1,6.3,12.0,3.5,14.2,7.2,0.5,3.0,58.1,15.9,0.8,1.0,9.4,4.0,1.9,2.1,2.5,2.7,3.0,0.5,0.6639,0.8174,0.6266,0.2116,0.9834,3.3029,0.7676,0.3734,0.9295,0.4979,0.9502,0.6515,3.4025,0.9627,0.9336,0.9336,0.9336,0.2282,0.6763,0.6432,0.3444,0.6598,2.5519,0.5768,10.1909,0.8506,0,0,0,0,1,1,0,1,0,1,0,2,1,1,0,0,0,0,0,0,4,1901,127,39,0,10,144,121,45,53,580,184,0,10,76,48,0,10,24.4,7.9,0.0,1.7,9.9,7.6,3.1,3.5,39.9,10.3,0.0,1.7,5.2,3.1,0.0,1.7
46,South Dakota,SD,46007,Bennett County,46007941200,Census Tract 9412; Bennett County; South Dakota,1175.770598870444,1937,243,616,65,494,68,1217,366,60,65,122,64,165,88,386,190,200,72,766,227,200,86,36,38,0,40,1312,283,0,14,31,24,70,43,78,59,0,10,62.8,17.2,10.8,10.9,24.7,12.5,17.6,8.9,19.9,9.8,10.3,4.2,39.5,7.9,10.3,4.9,7.3,7.6,0.0,2.2,67.7,11.9,0.0,2.3,5.0,3.9,14.2,8.5,15.8,11.3,0.0,0.5,0.9834,0.9461,0.7303,0.9419,0.9046,4.5063,0.9751,0.1203,0.9917,0.3361,0.7801,0.0,2.2282,0.3817,0.9461,0.9461,0.9461,0.0,0.4523,0.9751,0.9502,0.0,2.3776,0.4813,10.0582,0.8382,1,1,0,1,1,4,0,1,0,0,0,1,1,1,0,0,1,1,0,2,8,702,204,68,6,9,171,125,0,10,1126,290,0,10,9,14,0,10,41.3,12.1,0.3,0.5,8.8,6.1,0.0,1.3,58.1,10.7,0.0,1.3,0.5,0.7,0.0,1.3
46,South Dakota,SD,46009,Bon Homme County,46009967600,Census Tract 9676; Bon Homme County; South Dakota,251.500735824666,3080,182,1634,88,1394,93,617,146,14,13,275,76,202,50,240,91,902,79,614,131,426,82,58,37,0,40,116,260,57,30,65,29,9,12,70,31,127,11,20.9,4.8,0.9,0.9,19.7,5.3,8.8,2.2,8.1,2.9,29.3,2.9,19.9,3.5,14.5,2.7,4.2,2.6,0.0,1.4,3.8,8.4,3.5,1.8,4.0,1.8,0.7,0.9,5.0,2.3,4.1,0.3,0.6183,0.2282,0.5519,0.6515,0.5228,2.5727,0.5685,0.9585,0.2033,0.7552,0.4772,0.0,2.3942,0.4896,0.0622,0.0622,0.0622,0.4232,0.3942,0.4149,0.6017,0.7593,2.5933,0.5892,7.6224,0.4938,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2886,265,59,8,34,36,51,3,6,30,22,0,10,22,17,17,25,19.0,4.0,0.3,1.1,1.2,1.6,0.1,0.2,1.0,0.7,0.0,0.8,0.7,0.5,0.6,0.8
46,South Dakota,SD,46009,Bon Homme County,46009967700,Census Tract 9677; Bon Homme County; South Dakota,312.04844142267,3938,182,1183,79,1020,97,764,222,46,43,225,78,372,82,84,57,588,81,659,125,294,79,32,21,25,43,853,261,36,20,59,39,9,13,28,21,1501,58,31.4,8.9,3.8,3.6,22.1,7.4,12.9,2.8,3.5,2.2,14.9,2.1,16.7,2.7,12.1,3.3,3.2,2.0,0.7,1.1,21.7,6.6,3.0,1.7,5.0,3.3,0.9,1.3,2.7,2.1,38.1,2.3,0.8257,0.722,0.6432,0.8423,0.0996,3.1328,0.7137,0.3112,0.0996,0.5062,0.3154,0.722,1.9544,0.2158,0.7137,0.7137,0.7137,0.3942,0.4523,0.473,0.3776,0.9917,2.6888,0.6473,8.4897,0.6141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2856,218,52,107,50,168,51,11,21,416,81,0,10,151,56,0,10,21.4,5.6,2.7,1.3,4.3,1.3,0.3,0.5,10.6,2.1,0.0,0.6,3.8,1.4,0.0,0.6
